name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,gcc,5,21,815,35.469,351208,0,84% 74% 72% 91% 60% 78% 76% 66%,5.922
binarytrees,gcc,3,21,790,7.266,111300,0,67% 63% 74% 72% 72% 100% 68% 73%,1.287
binarytrees,gcc,1,21,584,14.883,263704,0,33% 19% 15% 5% 16% 20% 9% 87%,14.884
binarytrees,purkka,1,21,717,7.057,177092,0,75% 71% 60% 73% 69% 100% 71% 69%,1.212
binarytrees,gcc,2,21,753,6.956,177384,0,100% 73% 67% 70% 70% 71% 75% 61%,1.192
fannkuchredux,gcc,2,12,1377,38.550,888,0,12% 0% 84% 99% 83% 98% 16% 0%,9.841
fannkuchredux,gcc,5,12,857,40.926,936,0,87% 62% 60% 63% 74% 99% 93% 100%,6.430
fannkuchredux,gcc,1,12,446,43.939,752,0,1% 5% 4% 5% 100% 5% 6% 4%,43.939
fannkuchredux,gcc,3,12,503,33.026,716,0,0% 0% 0% 0% 100% 0% 0% 0%,33.027
fannkuchredux,gcc,4,12,1066,13.148,796,0,0% 0% 0% 1% 100% 1% 0% 0%,13.148
fasta,gcc,5,25000000,1205,1.949,784,0,28% 7% 20% 10% 21% 15% 54% 74%,1.955
fasta,gcc,7,25000000,1862,4.546,2796,0,97% 51% 97% 27% 3% 97% 29% 100%,1.168
fasta,gcc,4,25000000,1120,3.723,808,0,25% 22% 10% 19% 78% 16% 27% 21%,3.724
fasta,gcc,1,25000000,1100,3.740,860,0,0% 100% 1% 0% 1% 0% 0% 0%,3.741
fasta,gcc,6,25000000,1819,3.446,2580,0,27% 2% 97% 1% 2% 99% 3% 97%,1.176
fasta,gcc,2,25000000,2082,5.124,2820,0,21% 38% 98% 100% 98% 98% 33% 21%,1.302
knucleotide,gcc,1,25000000,1399,11.241,129984,0,42% 48% 49% 66% 46% 55% 100% 40%,2.719
nbody,gcc,6,50000000,1086,3.702,1156,0,0% 100% 0% 0% 0% 0% 0% 0%,3.704
nbody,gcc,1,50000000,1078,4.055,1048,0,0% 0% 0% 0% 100% 0% 0% 0%,4.055
nbody,gcc,3,50000000,1105,5.688,1068,0,1% 0% 100% 0% 0% 1% 0% 0%,5.689
nbody,gcc,2,50000000,1167,4.655,1152,0,0% 0% 100% 0% 0% 0% 0% 0%,4.656
nbody,gcc,8,50000000,1329,2.680,1044,0,0% 0% 0% 100% 1% 0% 0% 0%,2.680
nbody,gcc,4,50000000,1370,3.067,1080,0,100% 0% 0% 0% 0% 0% 0% 0%,3.067
nbody,gcc,7,50000000,1154,3.904,1156,0,0% 0% 0% 0% 0% 0% 100% 1%,3.904
nbody,gcc,5,50000000,1309,2.992,796,0,0% 1% 100% 0% 0% 0% 0% 0%,2.993
pidigits,gcc,2,10000,373,0.721,2604,0,100% 0% 0% 0% 0% 0% 1% 0%,0.722
pidigits,gcc,1,10000,414,0.718,2352,0,1% 100% 0% 0% 0% 0% 0% 0%,0.719
regexredux,gcc,4,5000000,1147,4.094,148544,0,36% 98% 63% 66% 38% 40% 36% 40%,0.989
regexredux,gcc,2,5000000,1026,2.998,100264,0,0% 100% 0% 0% 0% 0% 0% 0%,2.999
regexredux,gcc,5,5000000,1300,2.904,152124,0,49% 91% 38% 28% 31% 28% 44% 30%,0.866
regexredux,gcc,3,5000000,1161,3.260,100632,0,44% 35% 33% 100% 1% 0% 1% 0%,1.541
revcomp,gcc,5,100000000,578,1.731,994028,0,100% 0% 1% 2% 1% 3% 1% 7%,1.731
revcomp,gcc,2,100000000,675,1.872,994300,0,0% 17% 94% 6% 1% 0% 0% 8%,1.518
revcomp,gcc,1,100000000,1700,2.111,1938636,0,0% 9% 1% 14% 68% 21% 44% 0%,1.351
revcomp,gcc,6,100000000,759,1.738,714412,0,2% 3% 26% 99% 38% 1% 2% 1%,1.026
revcomp,gcc,3,100000000,1301,2.297,994488,0,52% 20% 18% 20% 19% 19% 65% 19%,0.999
revcomp,gcc,4,100000000,641,3.502,500392,0,0% 0% 1% 1% 0% 1% 0% 100%,3.503
spectralnorm,gcc,1,5500,357,1.736,1132,0,23% 100% 39% 20% 31% 2% 4% 2%,1.737
spectralnorm,gcc,5,5500,494,8.497,1296,0,100% 100% 100% 100% 100% 100% 100% 100%,1.220
spectralnorm,gcc,3,5500,401,9.274,1212,0,100% 99% 99% 100% 99% 100% 100% 100%,1.327
spectralnorm,gcc,4,5500,1025,4.994,1224,0,100% 100% 100% 99% 99% 100% 100% 99%,0.693
